³¯Â¥,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,ìµœì†Œ,ìµœë?,?‰ê· 
20250125,128.85,100.77,107.38,101.33,99.39,101.37,117.4,116.26,118.79,135.88,151.24,146.35,128.48,116.6,116.05,115.78,120.95,138.61,138.62,138.62,117.84,117.49,116.97,116.47,99.39,151.24,121.13
20250126,118.27,86.29,82.74,80.92,80.92,81.1,83.08,98.48,106.56,117.72,147.05,139.37,118.64,120.92,120.95,117.62,117.62,117.45,117.73,117.72,116.4,116.3,117.07,115.88,80.92,147.05,109.97
20250127,96.72,85.16,80.92,80.92,80.92,100.11,104.21,108.26,118.3,139.36,142.98,154.93,141.33,134.23,133.68,132.51,132.51,133.24,139.35,132.52,118.3,121.62,114.25,104.6,80.92,154.93,118.67
20250128,96.06,82.26,80.92,80.92,80.92,81.77,83.35,83.35,80.33,79.87,78.51,78.51,78.51,78.51,78.51,79.87,80.33,80.33,88.53,88.53,88.53,88.53,88.53,88.53,78.51,96.06,83.28
20250129,95.74,77.88,77.07,77.07,77.07,77.07,80.07,80.07,77.49,76.68,70.92,70.92,6.69,70.92,70.92,70.92,76.68,96.71,97.63,97.63,97.63,97.63,97.63,97.63,6.69,97.63,81.06
20250130,97.63,85.81,81.14,79.87,79.87,97.63,97.63,97.63,97.63,107.7,109.31,109.28,109.39,103.7,98.47,76.68,98.42,104.3,104.62,104.62,104.62,104.62,104.44,104.46,76.68,109.39,98.51
20250131,115.34,81.96,81.79,81.06,81.13,81.96,101.63,108.27,151.51,164.38,155.33,150.48,136.63,138.88,136.63,136.63,136.36,133.09,133.17,132.45,138.58,114.6,116.3,107.33,81.06,164.38,123.8
20250201,103.21,98.71,82.77,82.77,82.77,82.77,84.47,84.47,99.51,105.95,132.56,151.16,113.57,110.31,104.88,104.97,105.01,103.66,103.6,103.41,103.23,100.17,99.92,100.37,82.77,151.16,102.27
20250202,96.38,82.91,82,81.27,81.27,81.4,82.94,82.94,95.27,98.13,100.7,100.74,100.59,100.74,106.29,106.3,105.9,106.21,105.96,100.74,100.74,99.79,98.13,97.32,81.27,106.3,95.84
20250203,102.15,80.55,80.55,80.55,80.55,80.55,86.78,109.48,142.19,157.57,151.41,133.91,133.05,133.58,131.32,132.92,132.92,132.92,133.91,133.91,114.52,102.78,99.72,99.16,80.55,157.57,118.04
20250204,105.07,102.15,84.44,84.44,84.44,102.15,99.28,129.79,134.8,236.55,159.36,133.78,130.6,133.52,133.77,141.76,134.09,134.15,134.57,134.57,134.8,130.01,130.02,113.79,84.44,236.55,129.28
20250205,106.94,96.77,84.44,84.44,84.44,98.11,109.77,111.86,139.87,148.18,150.83,138.84,132.35,133.91,133.58,142,133.58,132.24,132.24,127.04,131.1,112.43,105.93,105.7,84.44,150.83,121.72
20250206,105.98,97.98,97.72,84.44,95.69,98.29,105.34,114.59,141.12,154.52,153.3,134.44,131.17,133.22,139.76,132.8,142.19,133.51,134,126.08,131.93,112.51,102.23,107.9,84.44,154.52,122.95
20250207,112.43,101.97,98.56,98.14,98.13,98.55,111.77,113.73,136.65,159.17,149.17,142.6,131.72,136.2,136.43,151.02,136.65,136.65,134.8,131.51,130.1,129.66,129.78,128.8,98.13,159.17,127.86
20250208,113.07,112.79,99.34,98.79,98.67,101.6,112.3,113.49,115.53,132.78,134.8,134.8,127.28,127.28,115.54,115.54,124.41,115.55,142.05,132.49,128.31,114.24,113.56,114.88,98.67,142.05,118.5
20250209,103.41,99.27,99.08,82.99,82.99,98.46,99.15,102.61,103.48,103.74,106.34,103.74,104.56,103.74,103.64,102.95,103.74,106.23,111.85,108.84,103.48,103.48,103.48,103.48,82.99,111.85,101.95
20250210,105.62,81,80.92,80.73,80.85,81,88.04,108.96,142.19,154.52,157.07,152,130.3,132.55,130.3,130.3,141.24,132.79,131.3,130,125.85,113.9,132.55,113.9,80.73,157.07,121.71
20250211,103.12,101,100.23,83.22,84.06,98.32,107.51,134.24,138.75,150.33,144.44,145.55,131.36,131.37,132.15,131.37,132.15,132.15,132.15,132.15,132.15,113.98,113.98,113.98,83.22,150.33,122.95
20250212,103.44,97.28,93.04,81.32,92.42,93.39,109.51,123.61,132.59,143.84,154.15,144,142.98,143.44,143.44,143.44,132.8,134.13,134.98,130.21,130.14,132.49,125.7,123.89,81.32,154.15,126.6
20250213,112.57,101.6,101.61,98.25,101.6,111.24,112.61,132.81,136.01,136,146.77,139.35,131.12,132.15,132.15,131.37,140.03,131.12,132.23,132.23,130.15,125.75,122.78,114.04,98.25,146.77,125.27
20250214,108.13,98.48,98.07,82.54,97.73,102.15,104.03,132.78,132.79,146.68,143.92,132.57,131.3,132.8,131.99,131.99,132.57,133.42,126.81,126.24,114.49,113.09,112.88,103.85,82.54,146.68,120.69
20250215,122.15,101.69,99.22,99.09,99.22,101.8,102.54,115.65,116.85,141.55,150.58,148.17,132.52,132.5,132.51,123.96,123.96,102.92,115.97,114.96,107.61,102.76,102.78,132.48,99.09,150.58,117.71
20250216,99.53,98.59,97.91,81.8,81.8,96.48,97.91,102.94,103.75,103.5,103.74,103.74,103.74,103.74,105.3,105.35,103.67,105.39,133.17,105.55,103.76,103.76,103.41,99.98,81.8,133.17,102.25
20250217,123.89,98.61,97.86,80.89,98.06,98.22,102.01,132.8,132.5,145.9,151.99,132.56,130.94,131.73,131.11,132.15,132.15,132.15,130.06,130.79,130.79,132.48,132.45,113.87,80.89,151.99,124.6
20250218,122.64,102.15,98.46,98.46,98.46,99.51,113.01,128.93,143.78,149.48,145.96,142.19,131.05,131.05,131.05,131.05,131.05,131.05,130.78,129.98,129.9,125.25,125.25,113.94,98.46,149.48,125.42
20250219,107.9,101.77,98.38,97.93,98.42,102.35,113.2,128.69,137.5,142.09,157.35,138.32,133.08,132.79,132.57,131,140.97,132.55,130.74,130.78,129.84,124.91,128,128.37,97.93,157.35,126.04
20250220,113.06,98.68,97.71,82.54,83.49,98.78,113.15,128.79,134.47,139.7,159.56,134.45,134.03,132.82,130.24,130.24,132.82,132.82,132.82,132.82,126.33,113.88,113.88,122.75,82.54,159.56,122.73
20250221,107.9,97.98,102.32,84.33,101.64,101.91,107.07,132.8,138.87,140.85,155.34,140.38,132.73,132.81,132.54,132.81,132.81,132.81,132.56,126.31,113.91,113.67,113.9,113.9,84.33,155.34,122.57
20250222,108.15,101.48,102.66,85.12,85.12,102.42,106.37,104.78,103.15,98.05,110.37,80.29,72.82,0,76.15,79.69,82.46,97.87,108.44,108.44,108.44,108.44,108.44,108.44,0,110.37,94.84
20250223,104.96,86.42,86.39,84.98,85.83,86.43,98.4,97.34,81.85,79.67,98.31,72.76,72.76,6.21,72.76,72.76,79.67,96.13,104.96,104.96,98.27,104.96,103.97,104.96,6.21,104.96,88.24
20250224,87.21,80.05,80.05,80.05,80.05,81.1,97.63,114.82,130.83,145.89,149.46,132.15,126.28,126.28,126.28,132.15,132.15,132.15,114.31,114.31,114.31,113.9,114.31,113.9,80.05,149.46,115.32
20250225,100.23,85.02,83.6,82.77,83.6,85.02,107.9,107.9,130.79,130.79,150.78,142,128.4,128.32,128.32,128.32,144.44,130.78,114.94,114.94,113,109.59,109.59,109.59,82.77,150.78,115.62
20250226,105.07,97.54,82.1,82.1,82.1,87.2,113.35,113.99,123.71,130.86,141.24,130.54,127.29,128.75,130.11,128.35,130.79,126.36,113.98,113.98,113.98,113.99,113.99,114.01,82.1,141.24,115.13
20250227,97.37,88.86,88.86,88.86,88.86,98.32,99.28,113.61,118.96,118.94,118.91,117.09,100.23,102.15,102.32,112.76,112.76,113.15,113.34,113.4,107.64,107.64,107.64,107.64,88.86,118.96,106.34
20250228,87.2,81.74,80.53,80.53,80.53,80.71,88.12,99.18,115.69,131.01,138.69,130.81,115.63,115.61,115.61,115.61,115.6,113.83,100.14,100.14,99.2,95.27,92.54,92.54,80.53,138.69,103.89
20250301,95.61,86.26,84.33,81.71,81.71,81.91,84.33,84.08,95.6,99.33,112.34,99.33,99.33,99.33,99.33,99.33,98.4,95.86,95.91,95.95,95.92,86.26,95.61,86.26,81.71,112.34,93.14
20250302,84.9,82.37,79.49,79.49,79.49,79.49,80.18,81.49,81.06,79.49,79.53,79.53,79.49,79.49,79.49,80.18,82.37,86.26,86.26,86.26,86.26,86.26,86.26,86.26,79.49,86.26,82.28
20250303,81.32,79.49,79.49,79.49,79.49,79.49,81.76,83.21,95.61,113.26,113.26,114.75,114.75,114.75,114.75,114.75,114.18,114.29,114.07,112.98,98.41,97.48,95.61,94.07,79.49,114.75,100.32
20250304,83.19,83.19,83.19,83.19,83.19,83.19,83.19,97.69,113.65,152.84,149.92,131.28,129.9,131.28,129.9,129.52,125.75,113.4,113.56,113.56,134.85,109.32,110.22,97.69,83.19,152.84,113.37
20250305,96.24,85.51,85.51,85.51,85.51,85.51,96.9,113.06,129.05,147.99,149.57,131.87,128.98,131.55,131.28,127.29,122.44,121.47,121.61,122.26,134.16,113.65,111.89,112.42,85.51,149.57,116.93
20250306,96.15,85.9,85.62,85.62,85.62,85.9,96.9,97.84,113.97,130.22,151.39,130.22,112.54,113.37,113.79,113.36,113.94,113.95,113.96,113.08,101.11,97.84,97.84,97.84,85.62,151.39,106.88
20250307,94.02,85.51,85.51,85.51,85.51,88.92,96.9,109.57,121.7,130.22,130.22,130.21,111.96,130.22,130.21,130.22,130.22,113.95,113.22,113.23,111.38,110.68,110.79,97.84,85.51,130.22,111.02
20250308,129.32,122.96,123.27,122.77,123.27,122.69,123.26,123.22,114.14,96.99,114.29,114.27,114.26,96.99,96.57,96.54,96.51,96.99,122.87,123.16,123,122.75,140.44,140.44,96.51,140.44,116.91
20250309,154.76,97.6,89.37,97.6,113.96,143.08,114.74,96.67,78.49,77.77,0,0,0,0,0,79.29,95.61,122.91,146.46,143.36,141.31,145.65,141.31,145.77,0,154.76,99.71
20250310,113.11,99.73,97.02,97.02,97.02,99.73,113.11,133.46,144.67,147.13,128.74,113.94,112.18,112.27,112.88,113.94,113.94,113.94,114.03,121.61,114.03,114.03,112.16,113.9,97.02,147.13,115.68
20250311,96.02,87.23,84.7,83.44,84.7,87.23,96.44,113.6,130.22,137.56,130.21,130.21,126.84,130.22,130.22,130.22,137.54,137.28,136.59,136.52,111.36,95.89,95.89,95.94,83.44,137.56,114.57
20250312,103.52,89.8,89.8,89.58,89.8,89.8,97.93,121.61,132.07,141.96,152.29,130.21,128.97,130.22,128.97,128.97,128.97,125.9,125.9,122.92,121.61,121.61,113.25,112.47,89.58,152.29,118.88
20250313,91.37,85.12,82.92,82.59,83.85,89.99,109.57,111.44,116.83,116.81,116.79,115.06,97.84,97.84,97.84,111.44,106.95,111.74,111.85,111.85,111.74,111.74,111.74,111.74,82.59,116.83,104.73
20250314,112.86,97.27,96.4,84.43,96.99,108.36,112.96,113.6,122.92,139.97,122.75,113.5,97.27,97.27,97.27,113.26,112.05,122.06,121.67,113.8,111.44,110.36,111.44,114,84.43,139.97,110.77
20250315,131.75,98.13,97.37,97.03,97.03,98.22,98.22,98.26,97.03,107.97,97.87,97.65,6.83,79.16,67.12,78.74,86.47,97.59,98.54,98.54,98.54,98.54,98.54,98.54,6.83,131.75,93.62
20250316,97.15,83.61,82.45,82.45,82.45,82.45,85.12,85.12,82.45,82.45,95.61,99.89,99.76,111.54,99.05,95.61,86.55,97.15,98.41,98.41,98.41,98.41,98.41,98.41,82.45,111.54,92.84
20250317,95.74,83.24,83.24,83.24,83.24,83.24,87.44,110.79,136.49,136.49,129.51,127.56,127.56,127.85,127.44,122.98,122.9,114,114.35,113.23,111.08,110.79,110.79,110.79,83.24,136.49,112.12
20250318,136.98,98.63,89.33,87.31,88.66,96.86,110.34,120.49,143.45,152.85,132.64,128.13,125.33,125.33,125.33,125.33,137.15,137.05,137.42,137.42,137.42,137.06,137.06,118.56,87.31,152.85,124.82
20250319,112.26,98.04,96.43,91.44,96.57,106.29,113.12,113.16,136.72,137.08,157.94,130.22,128.9,128.9,128.71,128.89,130.22,128.71,131.28,131.28,131.02,128.42,128.27,128.26,91.44,157.94,123.22
20250320,112.45,100.47,97.02,96.99,97.02,111.15,127.79,128.63,136.22,136.12,147.87,137.89,132.34,132.34,132.11,130.22,130.22,129.64,129.64,130.21,126.57,126.65,126.73,130.21,96.99,147.87,124.94
20250321,114.15,97.31,96.22,89.43,96.9,103.48,124.12,128.38,131.96,131.94,133.5,129.55,127.24,127.16,127.08,132.44,125.8,125.8,135.31,125.81,125.81,123.72,124.12,133.38,89.43,135.31,121.81
20250322,132.94,123.89,123.89,112.5,123.89,136.47,136.54,124.35,113.58,113.83,132.94,113.22,103.28,103.28,100.06,100.03,97.09,115.94,134.42,134.43,134.43,134.44,134.44,134.45,97.09,136.54,122.53
20250323,124.29,115.03,113.6,111.97,113.6,137.26,145.87,143.72,99.94,99.82,101.92,100.06,97.7,97.7,97.7,103.29,101.14,114.2,123.9,135.32,135.32,135.32,135.33,135.3,97.7,145.87,119.29
20250324,113.8,96.53,84.4,84.4,96.71,96.86,100.41,123.44,113.8,130.14,124.12,108.65,103.48,105.51,103.48,107.35,113.8,120.33,152.69,133.42,121.88,110.5,113.8,109.15,84.4,152.69,112.38
20250325,107.37,96.67,96.49,85.4,96.39,97.29,103.48,103.48,124.12,130.21,132.46,133.46,128.59,130.21,130.21,130.21,130.2,124.12,124.12,113.8,113.38,111.73,108.51,108.36,85.4,133.46,115.58
20250326,107.71,88.89,88.89,88.89,97.33,113.8,114.91,118.16,139.09,114.84,126.41,126.38,126.38,126.38,126.38,126.38,126.38,126.38,140.8,140.8,126.41,126.41,126.41,126.41,88.89,140.8,120.25
20250327,112.54,96.79,96.58,96.58,96.58,96.76,97.49,113.8,117.53,160.78,160.78,134.55,124.9,134.48,134.33,134.88,134.72,130.4,128.87,132.89,113.8,113.38,113.8,104.43,96.58,160.78,121.33
20250328,122.71,103.48,96.65,99.04,103.48,124.12,124.37,132.89,130.68,139.92,133.44,128.62,124.84,126.17,126.17,140.06,126.17,127.43,134.93,135.75,132.67,130.47,132.07,132.67,96.65,140.06,125.83
20250329,134.22,132.24,129.77,123.15,129.87,134.48,134.42,126.37,123.05,103.28,133.4,133.4,128.99,130.32,111.26,99.91,99.91,111.64,124.34,133.55,133.1,133.1,133.1,133.1,99.91,134.48,125.86
20250330,132.58,116.49,100.08,100.08,123.9,133.33,134.73,132.56,97.06,100.08,100.21,100.22,100.17,103.29,97.35,98.17,96.54,122.8,133.33,133.33,133.33,133.33,133.33,133.33,96.54,134.73,118
20250331,113.89,96.51,87.25,85.98,87.25,89.13,113.8,128.59,138.69,132.46,132.46,132.46,128.83,132.46,132.46,128.84,128.84,128.53,128.65,126.89,125.67,123.02,123.02,115.49,85.98,138.69,120.5
20250401,99.41,98.52,97.55,97.74,98.79,122.85,128.35,136.04,143.52,143.77,145.19,143.53,137.21,139.35,137.21,156.03,137.21,137.92,136.01,136.02,136.02,126.13,126.41,121.02,97.55,156.03,128.85
20250402,104.85,95.52,94.67,95.09,95.07,98.57,117.13,139.33,135,135.07,136.76,139.35,136.17,136.8,136.81,139.37,136.83,133.06,133.17,133.18,118.48,116.94,116.46,116.46,94.67,139.37,123.12
20250403,125.73,123.02,98.47,98.33,98.96,123.66,138.34,138.34,144.15,153.64,155.2,146.85,141.12,141.1,141.1,154.88,140.05,139.87,139.88,139.88,139.88,137.58,138.34,138.34,98.33,155.2,135.42
20250404,154.2,105.88,98.33,98.33,108.54,136.56,138.29,137,137.82,137.25,140.17,145.55,137.42,145.4,140.17,137.9,136.51,136.98,137.9,138.41,137.52,137.31,137,138.41,98.33,154.2,133.65
20250405,121.88,98.65,97.55,89.49,93.23,98.65,98.65,98.65,99.2,115.27,139.89,141.08,139.83,139.91,116.15,116.71,100.52,99.11,99.15,100,100,99.28,99.18,99.28,89.49,141.08,108.39
20250406,101.18,99.36,85.99,88.94,113.27,132.88,142.94,141.42,101.07,101.51,116.12,101.12,0,6.87,116.87,96.04,99.36,114.63,120.82,120.94,121.03,121.11,121.16,121.24,0,142.94,106.45
20250407,111.09,97.78,86.53,86.53,87.34,93.64,116.46,125.73,140.96,143.9,143.19,137.66,135.63,139.33,135.64,139.33,135.61,135.64,135.64,156.47,138.82,135.64,135.64,141.58,86.53,156.47,128.14
20250408,154.2,115.14,98.22,98.19,109.24,140.86,141.41,141.47,142.91,142.05,141.49,136.56,136.48,136.54,136.5,136.56,136.48,136.56,140.38,153.12,153.04,140.19,139.97,140.54,98.19,154.2,135.99
20250409,154.2,115.55,98.92,98.64,109.17,135.68,139.56,139.55,139.84,139.83,153.94,139.82,139.82,139.82,139.82,139.81,139.55,139.71,139.83,139.83,139.84,139.55,139.55,139.55,98.64,154.2,135.54
20250410,114.2,98.67,96.68,96.68,98.51,110.65,135.3,139,150.81,154.15,154.6,142.98,142.98,148.79,139.45,139.15,137.02,137.06,137.07,137.07,136.98,135.96,135.73,118.81,96.68,154.6,131.79
20250411,115.35,99.11,98.29,98.32,99.12,115.67,138.96,139.09,139.89,140.03,144.65,139.5,133.39,133.38,133.38,139.33,133.39,140.38,141.28,141.5,140.93,133.41,133.41,127.64,98.29,144.65,129.53
20250412,129.4,98.55,93.69,92.25,92.58,98.55,98.9,99.23,99.26,111.23,139.87,139.86,139.86,139.87,139.86,156.66,134.49,129.4,129.4,129.4,129.4,129.4,129.4,129.4,92.25,156.66,121.66
20250413,114.77,98.16,84.98,86.61,99.42,117.07,117.07,115.61,98.4,98.65,99.54,99.01,99.04,99.09,98.72,99.4,99.21,99.4,118.63,118.63,118.63,118.63,118.63,116.17,84.98,118.63,106.36
20250414,93.31,83.85,83.85,83.85,83.85,103.49,98.12,117.01,159.72,154.18,159.72,152.9,139.14,152.9,161.86,154.34,148.21,148.21,148.26,148.24,137.99,137.94,137.91,137.91,83.85,161.86,133.77
20250415,117.35,116.19,108.84,108.68,109.21,134.66,135.09,135.17,139.34,137.29,139.35,137.28,136.98,137.13,137.24,137.28,137.28,137.13,137.29,155.4,155.4,153.15,153.14,152.58,108.68,155.4,136
20250416,146.1,116,100.15,109.05,116.19,136.03,136.46,138.06,138.46,159.97,162.07,144.57,138.39,144.53,144.5,161.65,138.42,138.36,138.29,138.29,138.22,138.07,138.07,137.79,100.15,162.07,137.75
20250417,115.1,99.25,98.73,98.35,98.93,113.06,116.2,135.06,142.18,142.33,142.33,142.32,142.01,139.35,139.33,154.08,137.87,137.67,137.03,136.95,137.45,136.12,137.18,132.58,98.35,154.08,130.26
20250418,112.96,98.75,111.76,111.76,115.76,116.2,116.2,139.34,142.17,142.17,183.32,154.69,137.27,137.27,137.27,137.27,137.27,137.6,135.76,137.2,135.21,132.72,118.17,118.37,98.75,183.32,131.13
20250419,98.95,98.95,98.36,98.27,98.36,98.36,113.41,112.74,112.8,97.93,98.36,98.07,98.02,100.43,113.79,100.49,99.44,99.92,100.58,100.64,100.64,100.7,100.7,100.7,97.93,113.79,101.68
20250420,99.84,99.47,84.9,92.38,99.49,100.2,100.2,99.61,81.09,99.82,113.38,99.82,0,99.64,99.7,99.95,99.91,99.6,100.15,111.91,111.91,111.91,111.91,111.87,0,113.38,98.29
20250421,102.86,92.94,92.94,92.94,93.24,115.22,116.68,117.69,137.69,137.3,157.6,138.15,137.09,137.09,137.09,139.33,137.09,137.09,137.39,137.39,136.83,134.4,117.83,117.83,92.94,157.6,126.13
20250422,113.74,84.96,84.96,84.96,84.96,94.7,98.42,116.93,137.92,145.44,148.05,148.05,138.96,148.65,166.11,166.11,141.09,141.09,141.1,137.54,137.91,137.93,137.42,120.67,84.96,166.11,129.93
20250423,99.26,97.96,92.24,97.69,99.27,129.37,133.38,133.59,137.89,141.7,141.7,141.7,141.62,138.07,138.07,139.48,137.32,161.96,137.34,135.41,134.88,133.59,129.37,129.37,92.24,161.96,129.93
20250424,114.15,98.53,97.52,97.52,98.92,115.55,132.89,132.88,137.63,137.3,139.28,154.69,137.3,139.28,138,139.28,137.3,145.98,146.86,146.96,135,132.89,118.64,118.17,97.52,154.69,129.54
20250425,99.19,97.85,97.94,95.19,99.18,115.71,116.88,115.72,137.87,137.86,139.26,138.34,137.86,137.86,137.86,137.86,137.86,138.07,134.98,135,134.41,133.04,133.04,118.78,95.19,139.26,125.74
20250426,111.73,98.42,93.43,93.43,110.81,114.9,115.84,111.16,111.3,111.58,115.44,115.23,112.51,112.51,115.84,117.13,112.11,116.35,115.84,115.84,115.84,115.84,115.84,115.84,93.43,117.13,111.85
20250427,99.56,85.05,92.94,84.91,92.84,99.3,99.67,96.39,100.03,99.88,100.27,99.88,99.6,100.21,100.21,100.27,99.55,99.77,100.34,100.4,100.4,100.46,100.52,100.52,84.91,100.52,98.05
20250428,93.69,84.24,84.24,84.24,84.24,88.67,99.71,115.81,138.34,136.65,139.28,145.51,136.09,136.63,136.93,157.47,137.21,135.92,116.75,116.75,116.29,99.96,100,100.05,84.24,157.47,116.98
20250429,115.55,98.46,98.25,97.5,98.46,113.97,116.29,139.34,136.68,139.36,161.24,147.13,136.12,137.08,139.33,139.33,139.33,136.48,115.8,117.31,115.8,115.8,115.8,115.8,97.5,161.24,124.4
20250430,113.64,98.73,98.13,98.16,99.22,114.36,116.47,137.84,135.99,139.52,157.28,139.5,139.47,139.5,139.5,146.97,139.38,139.31,138.34,138.34,133.79,129.1,138.34,139.29,98.13,157.28,130.14
20250501,125.64,110.01,105.66,103.1,103.1,110.22,110.71,110.93,121.78,120.16,121.78,121.78,128.72,131.89,131.64,131.35,130.56,121.78,119.94,119.94,119.68,118.7,126.56,111.18,103.1,131.89,119.2
20250502,130.63,110.44,109.8,106.28,109.98,129.3,118.66,130.58,129.82,130.66,131.86,131.87,129.93,129.94,129.94,129.94,129.93,129.89,131.87,129.94,129.98,126.41,125.9,124.4,106.28,131.87,125.93
20250503,131.08,109.81,103.3,101.52,102.43,109.73,110.11,118.61,130.64,129.77,130.56,128.19,128.18,130.19,128.16,127.72,131.13,124.84,124.84,130.19,130.19,129.59,119.73,118.73,101.52,131.13,122.37
20250504,110.94,110.39,109.91,94.38,110.72,112.43,112.43,130.91,129.73,129.38,112.15,111.66,110.6,111.66,111.66,119.12,118.49,119.12,130.08,130.91,130.07,129.64,119.14,119.14,94.38,130.91,118.16
